Matrix,n,Experiment,Type,Variant,Decade,Count,ZeroCount,Total
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-7,133,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-6,1373,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-5,3709,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-4,1076,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-3,997,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-2,4614,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-1,2441,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,0,243,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,1,44,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-7,269,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-6,1415,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-5,4005,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-4,1179,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-3,1087,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-2,5029,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-1,2688,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,0,240,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,1,48,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-7,19,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-6,118,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-5,337,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-4,98,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-3,90,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-2,420,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-1,224,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,0,20,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,1,4,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-7,18,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-6,119,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-5,337,1106,1330
