Matrix,n,Experiment,Type,Variant,RangeDecades,Count,SingleTermRows,EmptyRows,Total
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,0,154,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,1,110,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,2,398,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,3,1078,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,4,812,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,5,284,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,6,68,66,135,2904
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,0,168,72,135,3168
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,1,120,72,135,3168
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,2,433,72,135,3168
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,3,1177,72,135,3168
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,4,886,72,135,3168
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,5,312,72,135,3168
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,6,72,72,135,3168
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,0,14,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,1,10,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,2,36,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,3,98,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,4,74,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,5,26,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,6,6,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,0,14,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,1,10,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,2,36,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,3,98,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,4,74,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,5,26,6,135,264
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,6,6,6,135,264
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,0,35,15,135,660
